,putus_total,angka_putus_total_pct,putus_per_100k_penduduk,putus_per_10k_siswa,persentase_penduduk_miskin_2024,ipm_2024,harapan_lama_sekolah_2024,rata_rata_lama_sekolah_2024,pengeluaran_per_kapita_2024_ribu,risk_index
putus_total,1.0,0.5655,0.568,0.5655,0.0135,-0.3547,-0.3036,-0.3448,-0.2998,0.4252
angka_putus_total_pct,0.5655,1.0,0.982,1.0,0.2095,-0.3656,-0.1645,-0.3156,-0.4206,0.5754
putus_per_100k_penduduk,0.568,0.982,1.0,0.982,0.1877,-0.3222,-0.1462,-0.255,-0.3973,0.5435
putus_per_10k_siswa,0.5655,1.0,0.982,1.0,0.2095,-0.3656,-0.1645,-0.3156,-0.4206,0.5754
persentase_penduduk_miskin_2024,0.0135,0.2095,0.1877,0.2095,1.0,-0.7841,-0.7128,-0.7499,-0.7136,0.8081
ipm_2024,-0.3547,-0.3656,-0.3222,-0.3656,-0.7841,1.0,0.8545,0.9521,0.9169,-0.9579
harapan_lama_sekolah_2024,-0.3036,-0.1645,-0.1462,-0.1645,-0.7128,0.8545,1.0,0.8245,0.6706,-0.8265
rata_rata_lama_sekolah_2024,-0.3448,-0.3156,-0.255,-0.3156,-0.7499,0.9521,0.8245,1.0,0.7768,-0.9055
pengeluaran_per_kapita_2024_ribu,-0.2998,-0.4206,-0.3973,-0.4206,-0.7136,0.9169,0.6706,0.7768,1.0,-0.8877
risk_index,0.4252,0.5754,0.5435,0.5754,0.8081,-0.9579,-0.8265,-0.9055,-0.8877,1.0
