ranking_risiko,kode_kabkota,nama_wilayah_display,putus_total,angka_putus_total_pct,putus_per_100k_penduduk,persentase_penduduk_miskin_2024,ipm_2024,rata_rata_lama_sekolah_2024,risk_index
1,3206,Kab. Tasikmalaya,727,0.19386098007791772,37.846428874482605,10.23,69.98,7.97,89.43394375278079
2,3203,Kab. Cianjur,651,0.11102792070798632,25.18381087151459,10.14,68.89,7.33,84.49305138823563
3,3212,Kab. Indramayu,313,0.0860024784100807,16.352870921513013,11.93,70.72,6.95,76.48684570168605
4,3202,Kab. Sukabumi,618,0.11254370629370629,21.85271412123801,6.87,70.18,7.34,73.8349282829869
5,3217,Kab. Bandung Barat,281,0.07695383317723481,14.913562372392182,10.49,70.77,8.24,73.2820901910823
6,3213,Kab. Subang,333,0.10801412941584793,20.022174708806627,9.49,72.05,7.46,73.23242772670375
7,3210,Kab. Majalengka,118,0.04733632862644416,8.724319632454765,10.82,71.37,7.53,67.06087812894818
8,3208,Kab. Kuningan,80,0.0327140830038071,6.590182111444922,11.88,71.56,7.9,66.01204985756704
9,3211,Kab. Sumedang,305,0.13315230440799614,25.692150753116962,9.1,74.57,8.74,65.41658372162009
10,3218,Kab. Pangandaran,41,0.05394949800650025,9.444741352302675,8.75,71.03,8.1,64.89392364773698
11,3215,Kab. Karawang,519,0.10122187874828127,20.318010134733072,7.86,73.82,8.05,64.80996194205414
12,3205,Kab. Garut,95,0.014741755479277748,3.496567842617641,9.68,69.91,7.85,64.30031562567086
13,3209,Kab. Cirebon,147,0.03138343296327925,6.155879430191699,11.0,72.3,7.65,61.907496185435285
14,3214,Kab. Purwakarta,142,0.06465154184821457,13.519380317305568,8.41,73.99,8.14,59.22213824167807
15,3201,Kab. Bogor,910,0.06830719019499076,16.014633503352425,7.05,73.63,8.39,57.19701283906245
16,3207,Kab. Ciamis,230,0.10058338362502514,18.26518829820858,7.39,73.64,8.1,54.44713842744741
17,3272,Kota Sukabumi,124,0.14334431535749378,33.904329637579124,7.2,77.69,10.38,54.08058313061137
18,3278,Kota Tasikmalaya,98,0.06298079085878808,13.054012976754532,11.1,76.03,9.63,51.217970832831995
19,3204,Kab. Bandung,456,0.060061009341067506,12.149904239570532,6.19,74.59,9.15,50.90037134546609
20,3279,Kota Banjar,32,0.07380924922154307,15.253275879327521,5.85,75.01,8.83,49.25579668430339
21,3216,Kab. Bekasi,654,0.08907788049126315,19.97637045843021,4.8,76.8,9.76,45.885809516371744
22,3274,Kota Cirebon,50,0.056063239333968715,14.499015516846406,9.02,78.09,10.53,43.47893349024439
23,3271,Kota Bogor,151,0.06156229615133725,14.002861776916793,6.53,79.03,10.71,36.03719103153423
24,3277,Kota Cimahi,39,0.03526826489179877,6.514135674413477,4.39,80.3,11.52,21.96454576106345
25,3275,Kota Bekasi,256,0.05108169479485511,9.682087155425485,4.01,83.55,11.79,13.062657915053327
26,3276,Kota Depok,125,0.03182362076427608,5.7773145655343905,2.34,83.05,11.59,9.003383856766442
27,3273,Kota Bandung,41,0.008621269723782929,1.6217308773208057,3.87,83.75,11.07,4.714866425022338
